id,symbol,rebalance_date,s1_roe_trend,s2_revenue_cagr,s3_fcf,s4_pli_tailwind,s7_tam_expansion,s5_promoter_trend,s6_earnings_consist,s8_peg_ratio,s9_dii_accumulation,s10_de_improvement,s11_roce,s12_eps_cagr,s14_macro_cycle,s15_rs_12m,composite_score,forward_6m_return,in_train,in_validate,in_forward_test
365,360ONE,2014-06-01,,,,,50.0,,,,,,,,25.0,,37.5,-0.9,True,False,False
498,3MINDIA,2014-06-01,,,,,,,,,,,,,25.0,59.97,42.48,1.6249,True,False,False
146,AARTIIND,2014-06-01,,,,80.0,80.0,,,,,,,,25.0,97.72,70.68,2.2016,True,False,False
119,ABAN,2014-06-01,,,,,50.0,,,,,,,,25.0,100.0,58.33,-0.7019,True,False,False
359,ABFRL,2014-06-01,,,,,50.0,,,,,,,,25.0,,37.5,0.799,True,False,False
72,ABIRLANUVO,2014-06-01,19.86,24.34,0.0,,,,100.0,,,46.01,35.0,9.97,25.0,,32.52,-0.9,True,False,False
360,ABREL,2014-06-01,,,,,50.0,,,,,,,,25.0,90.15,55.05,0.175,True,False,False
457,ACC,2014-06-01,,,0.0,,50.0,,,,,,45.0,,25.0,57.02,35.4,0.012,True,False,False
379,ADANIENSOL,2014-06-01,,,,,50.0,,,,,,,,25.0,,37.5,-0.9,True,False,False
100,ADANIENT,2014-06-01,,,,,,,,,,,,,25.0,100.0,62.5,-0.2,True,False,False
331,ADANIPORTS,2014-06-01,,,,,80.0,,,,,,,,25.0,74.17,59.72,0.1722,True,False,False
1,ADANIPOWER,2014-06-01,,,,,50.0,,,,,,,,25.0,53.28,42.76,-0.5045,True,False,False
45,ADVANTA,2014-06-01,33.49,33.64,37.03,,50.0,,100.0,,,45.7,37.0,16.26,25.0,,42.01,-0.9,True,False,False
430,AEGISLOG,2014-06-01,,,,,50.0,,,,,,,,25.0,69.4,48.13,4.8461,True,False,False
101,AHLUCONT,2014-06-01,,,,,50.0,,,,,,,,25.0,50.0,41.67,0.0,True,False,False
446,AIAENG,2014-06-01,,,,,50.0,,,,,,,,25.0,100.0,58.33,0.1677,True,False,False
224,AKZOINDIA,2014-06-01,,,,,,,,,,,,,25.0,,25.0,-0.9,True,False,False
182,ALBK,2014-06-01,13.81,38.84,51.36,,,,100.0,,,28.13,22.0,0.0,25.0,,34.89,-0.9,True,False,False
476,ALKEM,2014-06-01,,,,,50.0,,,,,,,,25.0,,37.5,-0.9,True,False,False
207,ALLCARGO,2014-06-01,,,,,50.0,,,,,,,,25.0,88.92,54.64,0.9751,True,False,False
52,ALOKTEXT,2014-06-01,,,,,,,,,,,,,25.0,,25.0,-0.9,True,False,False
299,AMBUJACEM,2014-06-01,,,100.0,,50.0,,,,,,54.0,,25.0,63.88,58.58,-0.091,True,False,False
76,AMTEKAUTO,2014-06-01,31.42,86.1,13.76,,80.0,,100.0,,,26.77,29.0,51.09,25.0,,49.24,-0.9,True,False,False
77,ANANTRAJ,2014-06-01,,,,,50.0,,,,,,,,25.0,56.32,43.77,-0.4459,True,False,False
183,ANDHRABANK,2014-06-01,0.2,40.28,87.3,,,,100.0,,,0.2,23.0,0.0,25.0,,34.5,-0.9,True,False,False
313,ANGELONE,2014-06-01,,,,,50.0,,,,,,,,25.0,,37.5,-0.9,True,False,False
30,ANSALAPI,2014-06-01,2.9,30.3,99.61,,50.0,,100.0,10.94,,50.9,9.0,40.0,25.0,73.46,44.74,-0.3457,True,False,False
383,APLAPOLLO,2014-06-01,,,,,50.0,,,,,,,,25.0,78.05,51.02,1.3386,True,False,False
390,APOLLOHOSP,2014-06-01,,,,,50.0,,,,,,,,25.0,47.82,40.94,0.465,True,False,False
376,APOLLOTYRE,2014-06-01,,,,,50.0,,,,,,,,25.0,100.0,58.33,-0.0822,True,False,False
